title,text,origin,url,label,publisher_name,publisher_site,date
Jovem Pan: o que é falso e o que é verdadeiro na entrevista de Bolsonaro,"As propostas de manter zerados impostos federais da gasolina, álcool, diesel e gás já estão na peça orçamentária",Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/06/jovem-pan-entrevista-bolsonaro,0,Lupa - UOL,lupa.uol.com.br,
Jovem Pan: o que é falso e o que é verdadeiro na entrevista de Bolsonaro,Estatais dão lucro de mais de R$ 100 bilhões em média nos últimos três anos,Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/06/jovem-pan-entrevista-bolsonaro,0,Lupa - UOL,lupa.uol.com.br,
De cargos secretos a segurança: veja erros e acertos dos candidatos do Rio,A água foi privatizada. A Cedae não acabou. Essas empresas compram a água da Cedae. (...) Metade dos municípios [do estado são cobertos pelos serviços]. A outra metade não.,Marcelo Freixo (PSB),https://lupa.uol.com.br/jornalismo/2022/09/01/de-cargos-secretos-a-seguranca-veja-erros-e-acertos-dos-candidatos-do-rio,0,Lupa - UOL,lupa.uol.com.br,
De cargos secretos a segurança: veja erros e acertos dos candidatos do Rio,São quase 3 milhões de pessoas passando fome [no Rio de Janeiro],Marcelo Freixo (PSB),https://lupa.uol.com.br/jornalismo/2022/09/01/de-cargos-secretos-a-seguranca-veja-erros-e-acertos-dos-candidatos-do-rio,0,Lupa - UOL,lupa.uol.com.br,
De cargos secretos a segurança: veja erros e acertos dos candidatos do Rio,[Cláudio Castro] tem pouco mais de 20% de ótimo e bom,Marcelo Freixo (PSB),https://lupa.uol.com.br/jornalismo/2022/09/01/de-cargos-secretos-a-seguranca-veja-erros-e-acertos-dos-candidatos-do-rio,0,Lupa - UOL,lupa.uol.com.br,
De cargos secretos a segurança: veja erros e acertos dos candidatos do Rio,No Rio foram mais de 258 mil empregos abertos em dois anos,Cláudio Castro (PL),https://lupa.uol.com.br/jornalismo/2022/09/01/de-cargos-secretos-a-seguranca-veja-erros-e-acertos-dos-candidatos-do-rio,0,Lupa - UOL,lupa.uol.com.br,
De cargos secretos a segurança: veja erros e acertos dos candidatos do Rio,(...) hoje são 42 [bases do Segurança Presente],Cláudio Castro (PL),https://lupa.uol.com.br/jornalismo/2022/09/01/de-cargos-secretos-a-seguranca-veja-erros-e-acertos-dos-candidatos-do-rio,0,Lupa - UOL,lupa.uol.com.br,
"Na RedeTV!, Bolsonaro usa dados errados em busca do voto das mulheres","Já está na proposta de orçamento que mandamos para o parlamento não ter PIS/Cofins em cima de diesel, gasolina e álcool para o ano que vem",Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/01/bolsonaro-rede-tv-eleicoes-2022,0,Lupa - UOL,lupa.uol.com.br,
De cargos secretos a segurança: veja erros e acertos dos candidatos do Rio,O Rio teve a maior letalidade da pandemia do Brasil e uma das maiores do mundo,Rodrigo Neves (PDT),https://lupa.uol.com.br/jornalismo/2022/09/01/de-cargos-secretos-a-seguranca-veja-erros-e-acertos-dos-candidatos-do-rio,0,Lupa - UOL,lupa.uol.com.br,
"Na RedeTV!, Bolsonaro usa dados errados em busca do voto das mulheres",O número de mortes violentas no Brasil (...) tem caído,Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/01/bolsonaro-rede-tv-eleicoes-2022,0,Lupa - UOL,lupa.uol.com.br,
